Airport,Latitude,Longitude,Country
AAE,36.8242,7.8213,ALGERIA
AAL,57.093,9.849,DENMARK
AAN,24.2585,55.6194,UAE
AAP,-0.3702,117.2575,INDONESIA
AAQ,45.003,37.3408,RUSSIA
AAR,56.304,10.619,DENMARK
AAT,47.8273,88.1318,CHINA
ABA,53.75,91.385,RUSSIA
ABC,38.9454,-1.8803,SPAIN
ABD,30.365,48.233,IRAN
ABE,40.6511,-75.4439,USA
ABI,32.411,-99.682,USA
ABJ,5.26,-3.926,IVORY COAST
ABK,6.7306,44.2453,ETHIOPIA
ABQ,35.04,-106.609,USA
ABT,20.296,41.634,SAUDI ARABIA
ABV,9.007,7.263,NIGERIA
ABX,-36.068,146.958,AUSTRALIA
ABZ,57.204,-2.2,UK
ACA,16.757,-99.753,MEXICO
ACC,5.603,-0.168,GHANA
ACE,28.945,-13.605,CANARY ISLANDS
ACT,31.611,-97.23,USA
ACX,25.0856,104.9594,CHINA
ACY,39.458,-74.577,USA
ACZ,31.0878,61.5429,IRAN
ADA,36.982,35.28,TURKEY
ADB,38.292,27.157,TURKEY
ADD,8.977,38.8,ETHIOPIA
ADF,37.87,38.49,TURKEY
ADK,51.878,-176.646,USA
ADL,-34.945,138.531,AUSTRALIA
ADQ,57.75,-152.494,USA
ADS,32.97,-96.8365,USA
ADU,38.3241,48.4202,IRAN
ADW,38.811,-76.867,USA
ADZ,12.583,-81.711,COLOMBIA
AEB,23.7167,106.9712,CHINA
AEP,-34.559,-58.416,ARGENTINA
AER,43.446,39.947,RUSSIA
AES,62.56,6.11,NORWAY
AEX,31.327,-92.548,USA
AEY,65.66,-18.072,ICELAND
AFW,32.9875,-97.3139,USA
AFZ,36.1712,57.6033,IRAN
AGA,30.381,-9.546,MOROCCO
AGH,56.296,12.847,SWEDEN
AGP,36.674,-4.499,SPAIN
AGR,27.156,77.961,INDIA
AGS,33.37,-81.964,USA
AGT,-25.4555,-54.8436,PARAGUAY
AHB,18.24,42.656,SAUDI ARABIA
AHJ,32.5277,102.3569,CHINA
AHN,33.9519,-83.3251,USA
AHO,40.632,8.291,ITALY
AJA,41.924,8.803,CORSICA
AJF,29.7886,40.1021,SAUDI ARABIA
AJI,39.69,43.12,TURKEY
AJL,23.746,92.803,INDIA
AJR,65.59,19.282,SWEDEN
AJU,-10.984,-37.07,BRAZIL
AKA,52.2181,-174.2063,USA
AKJ,43.671,142.447,JAPAN
AKL,-37.008,174.792,NEW ZEALAND
AKN,58.677,-156.649,USA
AKR,41.038,-81.467,USA
AKU,41.26,80.2926,CHINA
AKX,50.245,57.203,RUSSIA
ALA,43.352,77.04,KAZAKHSTAN
ALB,42.748,-73.803,USA
ALC,38.282,-0.558,SPAIN
ALF,69.977,23.366,NORWAY
ALG,36.691,3.215,ALGERIA
ALW,46.0873,-118.2845,USA
AMA,35.219,-101.706,USA
AMD,23.075,72.632,INDIA
AMH,6.0404,37.5889,ETHIOPIA
AMM,31.722,35.993,JORDAN
AMQ,-3.709,128.09,INDONESIA
AMS,52.309,4.764,NETHERLANDS
ANC,61.174,-149.996,USA
ANF,-23.444,-70.445,CHILE
ANU,17.137,-61.792,LEEWARD ISLANDS
ANX,69.293,16.144,NORWAY
AOE,39.9,30.54,TURKEY
AOG,41.1131,122.8666,CHINA
AOI,43.6154,13.3619,ITALY
AOJ,40.734,140.691,JAPAN
AOK,35.421,27.146,GREECE
AOR,6.194,100.403,MALAYSIA
APA,39.5751,-104.8451,USA
APL,-15.106,39.282,MOZAMBIQUE
APW,-13.83,-172.008,SAMOA
AQG,30.5831,117.0516,CHINA
AQI,28.335,46.125,SAUDI ARABIA
AQJ,29.611,35.018,JORDAN
AQP,-16.341,-71.583,PERU
ARA,30.038,-91.884,USA
ARH,64.5961,40.7145,RUSSIA
ARI,-18.348,-70.339,CHILE
ARN,59.652,17.919,SWEDEN
ASB,37.992,58.363,RUSSIA
ASE,39.2196,-106.8643,USA
ASF,46.283,48.006,RUSSIA
ASJ,28.431,129.712,JAPAN
ASM,15.29,38.9,ETHIOPIA
ASN,33.5694,-86.0511,USA
ASO,10.0266,34.5749,ETHIOPIA
ASP,-23.807,133.902,AUSTRALIA
ASR,38.77,35.495,TURKEY
ASU,-25.24,-57.519,PARAGUAY
ASW,23.964,32.82,EGYPT
ATH,37.94,23.95,GREECE
ATL,33.64,-84.427,USA
ATQ,31.70566,74.8069,INDIA
ATW,44.2605,-88.5111,USA
ATZ,27.05,31.0154,EGYPT
AUA,12.501,-70.015,ARUBA
